Hash Rate,also referred to as hash power; this is the rate at which a computer can generate guesses to a cryptographic puzzle. Hash rate can also refer to the overall power being used by the entire network on a proof of work blockchain.
HFSP,Have Fun Staying Poor - a phrase commonly aimed at individuals who do not own any cryptocurrencies; or don’t believe in the value of a certain asset. “Did you buy some ETH yet?”“No; crypto is a ponzi-scheme that will crash any day now.”“LOL okay HFSP.”
HODL,an expression meaning “hold” and frequently taken to be an acronym for Hold On for Dear Life. This term actually began its life as a typo on an old forum; Bitcointalk.org; where user GameKyuuby explained that he was “HODLING” his bitcoin as the price dropped. The misspelling quickly caught on and is still used today.
Holding the bag,"this is the unfortunate position you find yourself in when an asset you own quickly drops in value but you do not sell. You are thus left holding a bag of worthless coins or stocks. Those who end up in this position are referred to; unsurprisingly; as bagholders. “I’m not holding the bag. I’m HODLING. The bull market isn’t over.” "
ICO,Initial Coin Offering - the selling of tokens to the public in order to raise capital for a crypto-based project . ICOs are a crowdfunding approach; similar to a traditional company’s IPO
IEO,Initial Exchange Offering - similar to an initial coin offering; or ICO; an initial exchange offering is a method of selling tokens to raise capital; but with increased regulation. Unlike an ICO; which sells new tokens directly to the public; an IEO is managed by an existing cryptocurrency exchange. By working with a known and trusted exchange; IEOs seek to make the ICO process more secure.
L1,Layer  One - this is the blockchain platform itself; also referred to as the base layer; mainchain; or mainnet.i.e. Bitcoin; Ethereum; Cardano; Litecoin; Solana; Polkadot
L2,Layer 2 - protocols; also referred to as solutions; built on top of a layer 1 blockchain and commonly used to improve scalability; privacy; and add cross-chain communication. Unlike sidechains; which use their own consensus mechanisms; layer 2 solutions are secured by their underlying mainchain.i.e. Lightning Network; Optimism; Arbitrum
Lambo,short for Lamborghini. The ability to purchase Lambo is a goalpost for success; used in a myriad of phrases in the crypto and degen spaces. For instance “wen Lambo?” roughly translates to “I just purchased $43 worth of Dogecoin. When will the value of said investment increase enough to enable the purchase of a Lamborghini?” 
Light Node,a blockchain node that downloads just enough data from the blockchain in order to process and verify transactions. Unlike full or master nodes; light nodes do not store a blockchain’s complete history.
Liquidity ,a measure of how easily an asset can be bought; sold; or traded in a given market or on an exchange.
Liquidity Pool,a collection of user-provided funds locked into a smart contract to facilitate trading on a DeFi platform. On decentralized exchanges and lending protocols liquidity must be provided by the users; as there is no central bank or figure to do so. 
Mainnet,short for main network; this is a main layer 1 blockchain; as opposed to a testnet or layer 2 solution.
Market Cap,the total value of an asset based on its current market price. A cryptocurrency’s market cap is found by multiplying the price of a single coin by its circulating supply.
Master Node,a blockchain node that verifies and relays transactions; stores the blockchain’s complete history; and may participate in voting; governance of the blockchain; and other special operations. Master nodes generally operate on a collateral based system; similar to a Proof-of-Stake protocol.
Master Node,a blockchain node that verifies and relays transactions; stores the blockchain’s complete history; and may participate in voting; governance of the blockchain; and other special operations. Master nodes generally operate on a collateral based system; similar to a Proof-of-Stake protocol.
Mining,in a Proof of Work system; this is the process of verifying transactions; organizing them into blocks; and then adding blocks to the blockchain. Participants who perform this process are called miners.
Minting,the process of adding a transaction or block to a blockchain.
Moon,To the moon! - this phrase implies that the value of an asset will go so high that it will reach the literal moon. This is used by shills; bulls; and during a bull market; essentially everyone. Another form of this is “wen moon?” This is used to express one’s impatience with an asset which is not increasing in value as quickly as they had hoped.
Moonboy,a term for social media “financial experts” and YouTubers who are overly optimistic and constantly explaining how a given asset is “about to go to the moon!”
NFT,Non-fungible token - a digital certificate of authenticity used to assign and verify ownership of a unique digital or physical asset. Unlike fungible tokens; NFTs are not interchangeable with one another. 
NFT Domains,domain names minted on the blockchain which allow people to govern their own data; set their Web3 username; take control of their digital worlds; and harness the power of the internet.
NGMI,short for “not gonna make it.” This is used to imply that a certain project or asset has a low chance of becoming valuable. This can also be directed at an individual; usually someone who had made a poor trade or investment
Nocoiner,a term used to describe someone who does not hold any cryptocurrencies; or who is generally unfamiliar with crypto.
Node,any device connected to a blockchain network. Different nodes have varying levels of responsibility; and may help validate transactions; store the blockchain’s history; relay data; and perform other functions. Because blockchains are distributed peer-to-peer networks; nodes come together to create the network’s infrastructure.
Non-fungible,unique; not interchangeable.
Oracle,a service supplying smart contracts with data from the outside world. Smart contracts are unable to access data that exists off-chain; so they rely on oracles to retrieve; verify; and provide external information. 
P2P,Peer-to-Peer - a distributed network of two or more computers which interact directly without a central server or entity.
Paper Hands,a term used to describe someone who sold a cryptocurrency or stock as its price was falling; usually for a loss. Someone with paper hands is said to be weak and unable to stomach market volatility. 
PFP ,profile picture; usually referring to one of an NFT
Private Key,an alphanumeric passcode required to withdraw assets from a blockchain wallet and authorize digital transactions. Because these private keys are long and difficult to memorize; wallets will generally associate them with a seed or recovery phrase that is easier to remember
Potentially Promising,first used by Elon Musk to refer to planned upgrades to Dogecoin. Referring to something as being potentially promising quickly caught on; being used both sarcastically and in a serious manner; albeit tongue-in-cheek
PoS,Proof of Stake - a consensus mechanism that requires nodes; called validators; to stake a set amount of cryptocurrency on the blockchain in order to verify transactions and mint blocks. If a validator approves fraudulent transactions; then a portion of their stake will be slashed
PoW,Proof of Work - a consensus mechanism that requires miners to complete complex mathematical puzzles in order to verify transactions and mint blocks. When a miner correctly solves a puzzle; they gain access to mint the next block and receive the corresponding block reward and transaction fees.
Protocol,the foundational software layer of a program. Protocol has become a general term used to refer to both layer 1 blockchain networks and the layer 2 applications built on top of them — Bitcoin; Ethereum; Uniswap; and Lightning Network can all be considered protocols. 
Public Key,uses to point to your wallet address; this is an alphanumeric code that serves as the address for a blockchain wallet; similar to a bank account number. Other users can send digital assets to your wallet via your public key; but only you can access your wallet’s contents by using the corresponding private key.
Pump and dump,a scheme where a cryptocurrency or other asset is hyped up; leading many to buy into it; raising its price. Those who did the hyping then sell their holdings of the asset as the price rises for a short period of time. This then leads to a sharp selloff where anyone who did not sell suffers a loss. 
Red Pilled,The Red Pill represents uncertain future but also freedom. Someone is red-pilled when they are introduced to crypto or web3.
Rekt,as in “wrecked;” used to express that one has suffered a huge loss.
Rug pull,a scam maneuver where a crypto project takes the funds that have been invested into its protocol and runs. An inside job pump-and-dump; if you will. A rug pull can also occur in assets with highly centralized ownership. If someone is able to sell a large portion of the circulating supply at once; this rapidly increases the supply; which can cause the price of the asset to plummet.
Rollup,a scaling solution that aims to improve transaction throughput and decrease fees by batching multiple transactions off-chain and then submitting them to the main chain as a single transaction.
Satoshis,the smallest denomination of BTC; equal to 0.00000001 bitcoin. Satoshis are named after Bitcoin’s pseudonymous creator; Satoshi Nakamoto. 
Sats,Satoshis - the smallest denomination of BTC; equal to 0.00000001 bitcoin. Satoshis are named after Bitcoin’s pseudonymous creator; Satoshi Nakamoto. 
Scalability,a protocol’s capacity to handle higher demand and increase transaction throughput as the network grows.
Seed Phrase ,"a string of words used as a master password to access a crypto wallet. Because a single wallet can contain multiple accounts; all with their own private keys; a seed phrase makes it easy to access them all with the same password. 
Ser,"meaning “sir;” a common intentional misspelling used in crypto circles ""GM ser"""
SHA-256,SHA stands for Secure Hashing Algorithm; a set of cryptographic hashing functions designed by the NSA. Essentially; SHA-256 takes an input of data and generates a long sequence of letters and numbers; called a hash. This hash is then used as a secure placeholder for the data it represents. 
Sharding,a method of separating a network’s nodes out into smaller groups (shards) in an attempt to increase scalability. These shards are then able to reach consensus on behalf of the entire network; removing the need for every node to process every transaction.
Shill,the act of heavily promoting a cryptocurrency; stock; or other asset in an effort to increase adoption and; in turn; raise its price. This is usually done via spamming on social media; and generally carries a negative connotation. A person who performs the act of shilling may also be referred to as a shill.
Shitcoin,a cryptocurrency with weak fundamentals and little to no use case.
Sidechain,a parallel blockchain used to offload transactions from the main chain in order to increase scalability or add other functionality. Sidechains are connected to their main chain; or parent chain; via a two-way link which allows data and assets to be seamlessly transferred.
Slashing,the process of burning or redistributing a validator’s staked cryptocurrency as punishment for approving fraudulent charges or otherwise endangering the network.
Slippage,the price of a cryptocurrency may change between the time an order is placed and the time that order is ultimately filled. Slippage is the difference between a cryptocurrency’s quoted price and the price that a trade actually executes at. 
Smart Contract,self-executing code deployed on a blockchain. Smart contracts allow transactions to be made without an intermediary figure and without the parties involved having to trust one another. 
Soft Fork,a backwards compatible update to a blockchain. Unlike a hard fork; these changes do not require the creation of a separate chain.
Solidity,the native programming language of Ethereum; mainly used to write smart contracts.
Stablecoin,"a token with its value pegged to another asset. Stablecoins are usually backed by a fiat currency; like the US dollar; but can also be pegged to physical assets like precious metals; or even other cryptocurrencies like Bitcoin. i.e. USDT; Dai; USDC"
Testnet ,a software environment that mimics a mainnet blockchain; used to test network upgrades and smart contracts before deploying them to the mainnet
Token,"unlike a coin; a token is a digital asset created on an existing blockchain. Tokens can be used to represent digital and physical assets; or used to interact with dapps. i.e. LINK; UNI; AAVE"
TPS,Transactions per second - the number of transactions that a blockchain can handle per second; used as a benchmark to measure its computational power.
Transaction ,data written to a blockchain. New transactions are verified by nodes on the network and then broadcasted to other nodes. Once enough nodes have verified the transaction; it is considered valid and added to a block
TVL,Total Value Locked - a measure of the assets locked into an dapp’s smart contract; usually expressed in USD.
Txn Hash,short for transaction hash; or transaction ID. This is a unique identifier used to represent a specific transaction; written as a long string of letters and numbers. By pasting a txn hash into a block explorer like Etherscan; you can find the details of the transaction it represents.
Ultrasound Money,a rebuttal against the argument that Bitcoin is “sound money” or the “hardest form of currency” by saying that Ethereum post-EIP 1559 and post-ETH2 merge will be more sound than Bitcoin.
Up Only,a tongue-in-cheek saying; implying that a cryptocurrency or other asset can only increase in value. This is used to voice one’s bullish stance on an asset; although it may also be used sarcastically.
Vaporware,a product or project that is announced and marketed but never actually materializes.
WAGMI","""We're All Gonna Make It;"" a common saying in crypto and trading circles signaling camaraderie and a positive outlook."
Wallet,"a software application or hardware device used to store the private keys to blockchain assets and accounts. Unlike a traditional wallet; a blockchain wallet does not actually store the coins or tokens themselves. Instead; they store the private key that proves ownership of a given digital asset. i.e. Metamask; Coinbase Wallet; Ledger; Trezor"
Wallet Addres,also known as a public key; this is an alphanumeric code that serves as the address for a blockchain wallet; similar to a bank account number. Other users can send digital assets to your wallet via your public key; but only you can access your wallet’s contents by using the corresponding private key
Web1,the first iteration of the web; commonly referred to as the “read-only web.” Web1 was characterized by static websites that displayed information. There was little to no user interaction or user-generated content
Web2,starting in the 90s; the “read-write web” is characterized by user-generated content and improved user interfaces. This led to the creation of blogs and social media platforms; as well as sites like Wikipedia and YouTube. Web2 placed more emphasis on user experience and interoperability between different applications and websites; giving us the vast network of connected websites and resources that we are familiar with today
Web3,the next iteration of the web being ushered in as we speak; which leverages blockchain technology; open-source applications; and the decentralization of data and information. Web3 aims to remove control of the web from monopolistic tech companies; and return ownership of data and content to its users. Also referred to as the “read-write-trust web.”
Wei ,the smallest denomination of ether; named after cypherpunk and cryptocurrency pioneer; Wei Dai. 10^18 gwei = 1 ether.
YOLO,You Only Live Once
WG,What's Good or What Gwaan depending on which black person you ask. - @HaroldPH
